Wall time,Step,Value
1558951211.9027772,18,0.953125
1558951213.817282,42,0.984375
1558951214.040096,45,0.921875
1558951216.52688,71,1.0
1558951218.188997,94,0.984375
1558951223.567497,155,0.984375
1558951223.769918,158,1.0
1558951224.37295,167,0.984375
1558951229.1385758,229,1.0
1558951229.583748,234,1.0
1558951231.4938948,255,0.984375
1558951232.346251,267,0.984375
1558951232.7260768,273,0.984375
1558951235.5309372,308,1.0
1558951235.7518542,310,0.984375
1558951236.279852,318,1.0
1558951238.252575,347,1.0
1558951240.1637871,367,0.984375
1558951244.465087,421,0.984375
1558951247.966045,460,1.0
1558951249.037208,474,1.0
1558951253.9734788,536,1.0
1558951256.3943381,563,1.0
1558951257.5469818,579,1.0
1558951258.026092,586,0.96875
1558951258.0926452,587,1.0
1558951260.846585,620,1.0
1558951261.9085371,634,0.984375
1558951262.762623,647,1.0
1558951264.271204,661,1.0
1558951264.942504,671,1.0
1558951268.3764322,714,1.0
1558951268.907747,722,1.0
1558951269.551177,730,1.0
1558951272.5105972,765,1.0
1558951272.775527,769,0.984375
1558951272.904886,771,0.984375
1558951273.921458,785,1.0
1558951274.0509639,787,1.0
1558951274.503972,794,1.0
1558951275.492736,802,1.0
1558951275.969823,808,1.0
1558951277.910296,836,1.0
1558951286.276368,945,1.0
1558951288.523912,971,1.0
1558951288.5906801,972,1.0
1558951288.962983,978,1.0
1558951289.346663,984,1.0
1558951291.066535,1002,1.0
1558951291.2443762,1005,1.0
1558951291.80361,1014,1.0
1558951295.486479,1063,1.0
1558951295.668222,1066,1.0
1558951296.42946,1078,1.0
1558951297.50208,1093,1.0
1558951297.885141,1099,1.0
1558951298.6894279,1104,1.0
1558951302.7254279,1156,1.0
1558951303.151406,1161,1.0
1558951303.2208698,1162,1.0
1558951304.424381,1180,1.0
1558951305.400355,1193,1.0
1558951309.391891,1244,1.0
1558951311.097188,1261,1.0
1558951315.349987,1316,1.0
1558951315.541075,1319,1.0
1558951316.554136,1333,1.0
1558951316.811287,1337,1.0
1558951320.756292,1385,0.984375
1558951321.2282119,1392,1.0
1558951323.134314,1414,1.0
1558951323.90673,1426,1.0
1558951324.63792,1436,1.0
1558951327.113045,1466,1.0
1558951327.813847,1477,1.0
1558951328.8219461,1491,1.0
1558951331.49712,1523,1.0
1558951333.936929,1552,1.0
1558951335.09249,1568,1.0
1558951336.112919,1584,1.0
1558951336.369209,1588,1.0
1558951338.020579,1605,1.0
1558951340.378934,1640,1.0
1558951343.821522,1682,1.0
1558951344.409633,1691,1.0
1558951345.644632,1702,1.0
1558951346.0936651,1709,1.0
1558951346.664372,1718,1.0
1558951347.687681,1732,1.0
1558951347.8161762,1734,1.0
1558951348.002177,1737,1.0
1558951351.4325728,1781,1.0
1558951354.8999,1826,1.0
1558951356.157804,1844,1.0
1558951357.228904,1853,1.0
1558951358.16513,1866,1.0
1558951358.356071,1869,1.0
1558951358.865432,1877,1.0
1558951362.277953,1917,1.0
1558951363.37158,1934,1.0
1558951364.089248,1944,1.0
1558951364.276903,1947,1.0
1558951368.8638709,2001,1.0
1558951369.6246772,2013,0.984375
1558951371.1939478,2036,1.0
1558951374.243003,2076,1.0
1558951374.307083,2077,1.0
1558951374.922923,2085,1.0
1558951375.187009,2089,1.0
1558951375.633697,2096,1.0
1558951379.696237,2149,1.0
1558951380.6555352,2156,1.0
1558951382.729803,2187,1.0
1558951383.101547,2191,1.0
1558951383.6051059,2199,1.0
1558951384.5626152,2207,1.0
1558951384.8106198,2211,1.0
1558951386.205821,2231,1.0
1558951386.522084,2236,1.0
1558951386.583679,2237,1.0
1558951388.40415,2257,1.0
1558951388.724055,2262,1.0
1558951390.075385,2281,1.0
1558951391.084403,2297,1.0
1558951392.261268,2307,1.0
1558951393.043524,2319,1.0
1558951394.834379,2345,0.984375
1558951395.833984,2354,1.0
1558951398.185449,2389,1.0
1558951398.250293,2390,1.0
1558951398.370881,2392,1.0
1558951401.7516348,2436,1.0
1558951402.382302,2444,1.0
1558951403.3994272,2453,1.0
1558951403.523702,2455,1.0
1558951403.838218,2460,1.0
1558951405.542579,2485,1.0
1558951405.6065102,2486,1.0
1558951406.336311,2496,1.0
1558951406.4586082,2498,1.0
1558951407.203873,2503,1.0
1558951408.099634,2517,1.0
1558951408.6090639,2523,1.0
1558951409.190718,2532,1.0
1558951410.151304,2547,1.0
1558951411.0990489,2553,1.0
1558951415.0054898,2606,1.0
1558951420.697977,2685,1.0
1558951422.3913522,2703,1.0
1558951424.854135,2740,1.0
1558951426.3084002,2754,1.0
1558951428.607837,2789,1.0
1558951434.949572,2872,1.0
1558951436.58974,2896,1.0
1558951442.341742,2967,1.0
1558951442.8416839,2975,1.0
1558951445.687389,3011,1.0
1558951447.5070772,3038,1.0
1558951447.702719,3041,1.0
1558951452.045708,3099,1.0
1558951457.533261,3161,1.0
1558951458.676419,3177,1.0
1558951460.0804129,3195,1.0
1558951460.1564648,3196,1.0
1558951463.055913,3230,1.0
1558951463.726021,3240,1.0
1558951463.925929,3243,1.0
1558951463.999219,3244,1.0
1558951464.141771,3246,1.0
1558951464.210614,3247,1.0
1558951469.294773,3305,1.0
1558951472.13374,3345,1.0
1558951474.796534,3376,1.0
1558951477.248372,3403,1.0
1558951477.5785542,3408,1.0
1558951479.098301,3430,1.0
1558951480.4772322,3449,1.0
1558951482.1473641,3464,1.0
1558951483.348156,3480,1.0
1558951486.315936,3509,1.0
1558951486.5330079,3512,1.0
1558951488.499661,3537,1.0
1558951494.061644,3600,1.0
1558951495.8491142,3618,1.0
1558951495.989273,3620,1.0
1558951496.139831,3622,1.0
1558951496.5656488,3628,1.0
1558951499.2259488,3656,1.0
1558951500.210721,3670,1.0
1558951504.678543,3726,1.0
1558951504.9449332,3730,1.0
1558951505.7081769,3741,1.0
1558951509.913504,3793,1.0
1558951511.966979,3814,1.0
1558951512.306376,3819,1.0
1558951512.4451299,3821,1.0
1558951513.12751,3831,1.0
1558951516.078746,3864,1.0
1558951516.8852491,3876,0.984375
1558951521.0472262,3928,1.0
1558951523.658144,3956,1.0
1558951525.6849658,3984,1.0
1558951528.869604,4022,1.0
1558951529.639152,4033,1.0
1558951529.8449879,4036,1.0
1558951534.598411,4093,1.0
1558951534.9466062,4098,1.0
1558951536.203424,4109,1.0
1558951542.1315331,4182,1.0
1558951543.086426,4194,1.0
1558951543.2205272,4196,1.0
1558951544.0489511,4201,1.0
1558951544.11548,4202,1.0
1558951545.962993,4227,1.0
1558951546.306033,4232,1.0
1558951546.513184,4235,1.0
1558951547.0785139,4243,1.0
1558951549.0398579,4263,1.0
1558951549.3823879,4266,1.0
1558951550.433247,4282,1.0
1558951552.466471,4304,1.0
1558951553.3253288,4317,1.0
1558951553.580353,4319,1.0
1558951557.462571,4369,1.0
1558951559.239733,4393,1.0
1558951559.740391,4400,1.0
1558951560.740869,4406,1.0
1558951562.553747,4430,1.0
1558951562.764578,4433,1.0
1558951567.467695,4492,1.0
1558951569.1464372,4509,1.0
1558951570.666786,4530,1.0
1558951574.366069,4578,1.0
1558951574.6868968,4581,1.0
1558951578.483824,4628,1.0
1558951581.192179,4656,1.0
1558951581.744832,4664,1.0
1558951582.0257201,4668,1.0
1558951582.580436,4676,1.0
1558951585.810165,4713,1.0
1558951586.146795,4718,1.0
1558951588.4498188,4750,1.0
1558951589.549182,4758,1.0
1558951590.1538072,4767,1.0
1558951591.711773,4788,1.0
1558951592.534126,4800,1.0
1558951593.1322439,4802,1.0
1558951595.8301802,4840,1.0
1558951597.059593,4852,1.0
1558951600.123915,4894,1.0
1558951605.7902038,4962,1.0
1558951606.539922,4971,1.0
1558951606.734038,4974,1.0
1558951613.11298,5050,1.0
1558951613.7030752,5052,0.984375
1558951613.767255,5053,1.0
1558951617.971361,5106,1.0
1558951619.9580019,5134,1.0
1558951624.9315898,5200,1.0
