Wall time,Step,Value
1559000364.627147,18,0.9375
1559000365.465182,42,0.984375
1559000365.5488021,45,0.984375
1559000366.529896,71,1.0
1559000367.3194969,94,1.0
1559000369.7026439,155,1.0
1559000369.7872798,158,1.0
1559000370.041745,167,1.0
1559000372.182317,229,1.0
1559000372.322298,234,1.0
1559000373.265377,255,1.0
1559000373.6118872,267,1.0
1559000373.780163,273,1.0
1559000375.023732,308,1.0
1559000375.224015,310,1.0
1559000375.450401,318,1.0
1559000376.2674718,347,1.0
1559000377.076294,367,1.0
1559000379.01324,421,1.0
1559000380.518604,460,0.984375
1559000380.9169211,474,1.0
1559000383.0851672,536,1.0
1559000384.248704,563,1.0
1559000384.7014241,579,1.0
1559000384.8985431,586,1.0
1559000384.927088,587,1.0
1559000386.261292,620,1.0
1559000386.655814,634,1.0
1559000387.026849,647,1.0
1559000387.767817,661,1.0
1559000388.051573,671,1.0
1559000389.6699939,714,1.0
1559000389.899219,722,1.0
1559000390.1248782,730,1.0
1559000391.3836899,765,1.0
1559000391.652056,769,1.0
1559000391.7091131,771,1.0
1559000392.109011,785,1.0
1559000392.165216,787,1.0
1559000392.365001,794,1.0
1559000392.835465,802,1.0
1559000393.004791,808,1.0
1559000393.950046,836,1.0
1559000397.8628259,945,1.0
1559000398.856599,971,1.0
1559000398.884819,972,1.0
1559000399.057318,978,1.0
1559000399.2317262,984,1.0
1559000400.176139,1002,1.0
1559000400.261287,1005,1.0
1559000400.525187,1014,1.0
1559000402.248752,1063,1.0
1559000402.335765,1066,1.0
1559000402.6806011,1078,1.0
1559000403.116813,1093,1.0
1559000403.2894468,1099,1.0
1559000403.665529,1104,1.0
1559000405.570857,1156,1.0
1559000405.7175522,1161,1.0
1559000405.745693,1162,1.0
1559000406.408921,1180,1.0
1559000406.791381,1193,1.0
1559000408.672265,1244,1.0
1559000409.4129438,1261,1.0
1559000411.449719,1316,1.0
1559000411.537123,1319,1.0
1559000412.0896158,1333,1.0
1559000412.203691,1337,1.0
1559000413.891636,1385,1.0
1559000414.249322,1392,1.0
1559000415.122226,1414,1.0
1559000415.477216,1426,1.0
1559000415.808275,1436,1.0
1559000417.0698082,1466,1.0
1559000417.3930292,1477,1.0
1559000417.804683,1491,1.0
1559000419.1318479,1523,1.0
1559000420.271702,1552,1.0
1559000420.731928,1568,1.0
1559000421.231097,1584,1.0
1559000421.351115,1588,1.0
1559000422.089812,1605,1.0
1559000423.253661,1640,1.0
1559000424.879717,1682,1.0
1559000425.140074,1691,1.0
1559000425.6990201,1702,1.0
1559000425.905101,1709,1.0
1559000426.169479,1718,1.0
1559000426.754678,1732,1.0
1559000426.812289,1734,1.0
1559000426.9036732,1737,1.0
1559000428.5815868,1781,1.0
1559000430.153879,1826,1.0
1559000430.8412569,1844,1.0
1559000431.3485792,1853,1.0
1559000431.7454348,1866,1.0
1559000431.843356,1869,1.0
1559000432.079843,1877,1.0
1559000433.621162,1917,1.0
1559000434.12639,1934,1.0
1559000434.5597389,1944,1.0
1559000434.6545541,1947,1.0
1559000436.825105,2001,1.0
1559000437.2031202,2013,1.0
1559000437.882439,2036,1.0
1559000439.4346502,2076,1.0
1559000439.463362,2077,1.0
1559000439.6988401,2085,1.0
1559000439.815265,2089,1.0
1559000440.018233,2096,1.0
1559000441.969455,2149,1.0
1559000442.440462,2156,1.0
1559000443.534919,2187,1.0
1559000443.6536791,2191,1.0
1559000443.8892958,2199,1.0
1559000444.35698,2207,1.0
1559000444.4748101,2211,1.0
1559000445.2005498,2231,1.0
1559000445.346941,2236,1.0
1559000445.374809,2237,1.0
1559000446.191475,2257,1.0
1559000446.338361,2262,1.0
1559000447.0406258,2281,1.0
1559000447.512662,2297,1.0
1559000448.0757189,2307,1.0
1559000448.4336908,2319,1.0
1559000449.36045,2345,1.0
1559000449.863646,2354,1.0
1559000451.067262,2389,1.0
1559000451.095586,2390,1.0
1559000451.153934,2392,1.0
1559000452.6997812,2436,1.0
1559000453.095747,2444,1.0
1559000453.61033,2453,1.0
1559000453.667593,2455,1.0
1559000453.812896,2460,1.0
1559000454.555532,2485,1.0
1559000454.587368,2486,1.0
1559000454.88664,2496,1.0
1559000455.099904,2498,1.0
1559000455.48519,2503,1.0
1559000455.895712,2517,1.0
1559000456.077153,2523,1.0
1559000456.349164,2532,1.0
1559000456.79732,2547,1.0
1559000457.302328,2553,1.0
1559000459.292762,2606,1.0
1559000462.026017,2685,1.0
1559000462.810223,2703,1.0
1559000464.129709,2740,1.0
1559000464.785862,2754,1.0
1559000465.9743428,2789,1.0
1559000469.096282,2872,1.0
1559000469.950264,2896,1.0
1559000472.737864,2967,1.0
1559000472.995067,2975,1.0
1559000474.4790778,3011,1.0
1559000475.288722,3038,1.0
1559000475.479986,3041,1.0
1559000477.606462,3099,1.0
